parameter
"(x = 0.15470326556214598, param = 0.0, itnewton = 5, itlinear = 5, ds = -0.05, n_unstable = 0, n_imag = 0, stable = true, step = 0)"
"(x = 0.12204532464992995, param = 0.045412709155187685, itnewton = 5, itlinear = 5, ds = -0.05, n_unstable = 0, n_imag = 0, stable = true, step = 1)"
"(x = 0.09285649363329106, param = 0.10718003356924423, itnewton = 6, itlinear = 6, ds = -0.05, n_unstable = 0, n_imag = 0, stable = true, step = 2)"
"(x = 0.12118438797364937, param = 0.17967512167619343, itnewton = 4, itlinear = 4, ds = -0.05, n_unstable = 0, n_imag = 0, stable = true, step = 3)"
"(x = 0.19614133661747463, param = 0.21733209894104683, itnewton = 3, itlinear = 3, ds = -0.0457776, n_unstable = 0, n_imag = 0, stable = true, step = 4)"
"(x = 0.25371725696783226, param = 0.24014953507463097, itnewton = 5, itlinear = 5, ds = -0.033, n_unstable = 0, n_imag = 0, stable = true, step = 5)"
"(x = 0.47117698173156825, param = 0.3278994129788058, itnewton = 16, itlinear = 16, ds = -0.05, n_unstable = 0, n_imag = 0, stable = true, step = 6)"
"(x = 0.9239867900383955, param = 0.3901209334142941, itnewton = 3, itlinear = 3, ds = -0.05, n_unstable = 0, n_imag = 0, stable = true, step = 7)"
"(x = 0.9252882562593869, param = 0.4608310797593496, itnewton = 2, itlinear = 2, ds = -0.05, n_unstable = 0, n_imag = 0, stable = true, step = 8)"
"(x = 0.9253231378615407, param = 0.5315417574642632, itnewton = 1, itlinear = 1, ds = -0.05, n_unstable = 0, n_imag = 0, stable = true, step = 9)"
"(x = 0.9253241521412626, param = 0.6022524355825674, itnewton = 1, itlinear = 1, ds = -0.05, n_unstable = 0, n_imag = 0, stable = true, step = 10)"
"(x = 0.9253241816986811, param = 0.6729631137012219, itnewton = 1, itlinear = 1, ds = -0.05, n_unstable = 0, n_imag = 0, stable = true, step = 11)"
"(x = 0.9253241825600771, param = 0.7436737918198766, itnewton = 1, itlinear = 1, ds = -0.05, n_unstable = 0, n_imag = 0, stable = true, step = 12)"
"(x = 0.9253241825851808, param = 0.8143844699385313, itnewton = 1, itlinear = 1, ds = -0.05, n_unstable = 0, n_imag = 0, stable = true, step = 13)"
"(x = 0.9253241825859344, param = 0.885095148057186, itnewton = 0, itlinear = 0, ds = -0.05, n_unstable = 0, n_imag = 0, stable = true, step = 14)"
"(x = 0.9253241825859344, param = 0.932824855787278, itnewton = 0, itlinear = 0, ds = -0.03375, n_unstable = 0, n_imag = 0, stable = true, step = 15)"
"(x = 0.9253241825859344, param = 0.9646446609406727, itnewton = 0, itlinear = 0, ds = -0.0225, n_unstable = 0, n_imag = 0, stable = true, step = 16)"
"(x = 0.9253241825859344, param = 0.9858578643762691, itnewton = 0, itlinear = 0, ds = -0.015, n_unstable = 0, n_imag = 0, stable = true, step = 17)"
"(x = 0.9253241825859344, param = 1.0, itnewton = 0, itlinear = 0, ds = -0.01, n_unstable = 0, n_imag = 0, stable = true, step = 18)"
"(x = 0.9253241825859344, param = 1.0, itnewton = 0, itlinear = 0, ds = 0.01, n_unstable = 0, n_imag = 0, stable = true, step = 19)"
"(x = 0.9253241825859344, param = 1.014142135623731, itnewton = 0, itlinear = 0, ds = 0.015, n_unstable = 0, n_imag = 0, stable = true, step = 20)"
"(x = 0.9253241825859344, param = 1.0353553390593275, itnewton = 0, itlinear = 0, ds = 0.0225, n_unstable = 0, n_imag = 0, stable = true, step = 21)"
"(x = 0.9253241825859344, param = 1.0671751442127222, itnewton = 0, itlinear = 0, ds = 0.03375, n_unstable = 0, n_imag = 0, stable = true, step = 22)"
